user_id,session_id,timestamp,feature_name,action,device,user_type,region
U1327,S1456,2025-05-02 04:11:12,dashboard,complete,desktop,free,US
U1346,S3233,2025-05-01 15:11:35,dashboard,dismiss,desktop,free,UK
U1119,S3069,2025-03-15 18:33:54,notifications,click,tablet,free,AU
U1214,S1902,2025-04-25 21:41:37,search,complete,desktop,premium,UK
U1357,S2731,2025-05-01 21:12:51,data_export,complete,desktop,free,IN
U1052,S1379,2025-03-22 13:42:36,search,click,mobile,premium,AU
U1135,S1177,2025-04-10 13:14:23,settings,dismiss,tablet,free,DE
U1040,S3261,2025-04-15 08:31:46,data_export,complete,tablet,free,US
U1023,S3708,2025-03-31 01:00:06,report_create,complete,desktop,premium,US
U1194,S2138,2025-03-23 00:54:03,search,complete,desktop,free,UK
U1343,S2093,2025-04-08 11:14:45,settings,click,tablet,free,AU
U1373,S2002,2025-04-15 19:33:50,report_create,dismiss,mobile,free,AU
U1112,S3804,2025-05-04 08:17:22,data_export,click,desktop,premium,IN
U1205,S2096,2025-04-18 07:21:28,dashboard,view,tablet,premium,IN
U1108,S3684,2025-04-26 17:50:40,search,dismiss,tablet,free,IN
U1071,S2010,2025-04-05 13:29:11,settings,complete,tablet,free,AU
U1204,S2482,2025-04-06 04:03:24,report_create,view,tablet,free,US
U1440,S1449,2025-05-07 11:47:37,report_create,view,tablet,free,US
U1197,S2563,2025-05-10 21:49:15,notifications,dismiss,tablet,free,AU
U1440,S1047,2025-04-17 18:36:49,settings,click,tablet,premium,IN
U1393,S3625,2025-05-12 06:27:47,data_export,click,mobile,free,DE
U1001,S3957,2025-05-01 20:14:24,settings,complete,tablet,premium,AU
U1467,S1435,2025-03-18 18:50:08,settings,complete,tablet,free,UK
U1078,S2531,2025-04-05 04:01:31,report_create,click,tablet,free,US
U1057,S2486,2025-05-01 02:00:01,data_export,view,desktop,free,AU
U1484,S1322,2025-04-21 22:01:59,dashboard,dismiss,desktop,premium,AU
U1392,S1515,2025-03-14 20:24:09,report_create,dismiss,tablet,free,AU
U1446,S3484,2025-04-09 08:41:02,search,view,tablet,premium,UK
U1365,S2276,2025-05-03 17:40:35,search,complete,mobile,premium,DE
U1061,S2015,2025-04-02 14:47:24,report_create,click,mobile,free,AU
U1117,S3410,2025-04-17 23:07:44,report_create,click,desktop,premium,US
U1117,S1276,2025-04-22 16:03:31,dashboard,complete,desktop,free,IN
U1342,S2988,2025-04-27 10:49:17,report_create,view,tablet,premium,AU
U1295,S2936,2025-04-02 17:45:56,report_create,dismiss,mobile,free,US
U1337,S2765,2025-04-04 11:08:55,data_export,dismiss,mobile,free,US
U1344,S3676,2025-04-22 19:27:42,settings,click,desktop,free,IN
U1409,S1447,2025-03-20 19:12:03,report_create,view,desktop,free,UK
U1216,S1751,2025-03-16 06:13:58,data_export,dismiss,desktop,premium,US
U1226,S3254,2025-04-02 11:23:54,dashboard,click,tablet,premium,US
U1496,S1382,2025-04-17 07:14:20,report_create,view,mobile,free,UK
U1442,S2642,2025-04-12 10:11:59,dashboard,view,mobile,free,DE
U1135,S2863,2025-04-10 01:29:27,data_export,dismiss,tablet,premium,AU
U1338,S3942,2025-04-05 20:10:21,search,view,desktop,free,US
U1296,S3220,2025-04-21 02:36:53,dashboard,complete,desktop,free,DE
U1257,S3175,2025-03-17 10:12:14,report_create,click,tablet,free,UK
U1035,S3437,2025-03-20 04:56:14,dashboard,view,mobile,free,AU
U1126,S3371,2025-05-05 05:50:29,notifications,click,tablet,free,AU
U1289,S3141,2025-05-07 05:30:13,data_export,complete,desktop,free,IN
U1122,S2087,2025-04-07 00:30:12,search,view,tablet,free,DE
U1161,S1297,2025-05-01 07:29:17,dashboard,dismiss,tablet,premium,US
U1037,S3202,2025-04-20 07:16:55,report_create,complete,desktop,premium,US
U1450,S2000,2025-04-20 03:05:31,data_export,complete,desktop,free,AU
U1360,S2239,2025-04-11 00:00:18,notifications,click,tablet,premium,IN
U1477,S3717,2025-04-04 23:45:23,dashboard,view,mobile,free,US
U1380,S3266,2025-03-20 08:16:07,report_create,complete,mobile,free,IN
U1104,S3815,2025-03-26 22:42:35,settings,complete,tablet,free,US
U1047,S3598,2025-03-14 06:22:25,search,complete,desktop,free,UK
U1326,S2072,2025-04-20 22:12:08,report_create,dismiss,tablet,premium,AU
U1004,S1458,2025-04-15 13:43:25,dashboard,view,tablet,free,IN
U1298,S3263,2025-03-28 09:17:00,report_create,dismiss,desktop,free,IN
U1460,S1163,2025-03-21 21:24:42,data_export,view,tablet,free,US
U1181,S3293,2025-03-20 11:04:38,search,view,desktop,premium,UK
U1451,S2688,2025-04-25 02:21:41,dashboard,view,tablet,premium,DE
U1410,S3743,2025-04-04 11:20:21,settings,view,mobile,free,US
U1195,S1158,2025-04-24 09:50:58,search,view,desktop,premium,DE
U1179,S2250,2025-04-26 15:44:04,report_create,view,desktop,free,DE
U1168,S2141,2025-03-15 17:08:29,dashboard,complete,mobile,free,DE
U1347,S3196,2025-05-08 12:59:54,data_export,click,desktop,premium,IN
U1091,S3378,2025-04-03 20:17:14,data_export,click,desktop,free,IN
U1373,S2284,2025-05-09 00:51:09,search,click,mobile,premium,UK
U1130,S1181,2025-04-14 05:10:16,settings,dismiss,desktop,free,AU
U1351,S3946,2025-03-25 16:48:08,settings,view,mobile,free,IN
U1319,S2285,2025-04-10 07:55:02,settings,click,tablet,premium,AU
U1158,S3731,2025-04-25 06:11:23,search,complete,mobile,free,AU
U1065,S1785,2025-04-29 12:08:38,search,dismiss,tablet,premium,UK
U1315,S3331,2025-04-22 21:46:47,data_export,dismiss,tablet,premium,IN
U1146,S1860,2025-04-25 23:03:49,search,complete,mobile,free,UK
U1261,S2938,2025-04-04 23:58:52,settings,view,tablet,free,AU
U1339,S3592,2025-05-01 13:00:02,notifications,complete,desktop,premium,UK
